epoch,bucket,eth
254584,desynced,608.0
254584,silent,182361.0
254584,uncollected,21792.0
254584,wrong-target,5728.0
254585,chronic,54868.0
254585,silent,177817.0
254585,uncollected,11008.0
254586,chronic,54900.0
254586,desynced,160.0
254586,silent,177241.0
254586,uncollected,8543.0
254586,wrong-target,64.0
254587,chronic,55028.0
254587,desynced,128.0
254587,silent,195577.0
254587,uncollected,5536.0
254587,wrong-target,4192.0
254588,chronic,54740.0
254588,desynced,192.0
254588,silent,171257.0
254588,uncollected,39392.0
254589,chronic,55124.0
254589,desynced,128.0
254589,silent,172857.0
254589,uncollected,60991.0
254589,wrong-target,7232.0
254590,chronic,54868.0
254590,desynced,96.0
254590,silent,167513.0
254590,uncollected,28736.0
254590,wrong-target,4544.0
254591,chronic,54964.0
254591,desynced,64.0
254591,silent,168089.0
254591,uncollected,18016.0
254591,wrong-target,480.0
254592,chronic,55156.0
254592,desynced,192.0
254592,silent,172505.0
254592,uncollected,53535.0
254592,wrong-target,32.0
254593,chronic,54740.0
254593,desynced,64.0
254593,silent,178969.0
254593,uncollected,10240.0
254593,wrong-target,7712.0
254594,chronic,54996.0
254594,desynced,672.0
254594,silent,175993.0
254594,uncollected,24831.0
254594,wrong-target,160.0
